West Eifel Volc Field	50.16999817	6.849999905
GAVO	42.9366	10.8889	101.633	34.882265692647
GROA	42.7818	11.1093	68.046	55.577923908123
GROG	43.4263	9.892	241.066	81.487246792511
GROS	42.7654	11.1118	90.01	57.359933882117
IGMI	43.7956	11.2138	95.064	66.700537277085
LUCC	43.85	10.4997	69.977	73.087059671171
MADA	43.7475	10.3661	56.854	68.645218810626
MAON	42.4282	11.1307	228.39	93.819534596864
MCIN	43.0582	11.489	612.882	54.553772502908
MOZ2	43.9788	10.5443	156.743	85.174962445696
PFER	42.7929	10.2948	71.974	69.064480147829
PITI	42.6339	11.6731	391.991	94.69191280401
PRAT	43.8856	11.0991	119.965	73.045941315057
PSTE	42.428	11.1201	72.352	93.649228033566
RASS	43.6468	11.8356	354.065	89.570006547248
REPI	42.9521	12.0024	575.704	97.722723319368
S1EN	43.3149	11.3377	386.752	38.540982902807
SACS	42.849	11.9097	835.497	95.526999357082
SIEN	43.3416	11.313	417.669	37.270800396523
VRRA	43.4007	10.8651	597.846	16.761762305586
Vulsini	42.59999847	11.93000031
AREZ	43.4637	11.8749	328.268	96.143589254925
ATLO	43.3151	12.4071	652.518	88.487940696694
ATMI	43.334	12.2673	573.088	86.107832337709
ATTE	43.1998	12.3505	992.593	74.975718760623
CAFI	43.3292	11.9662	592.575	81.136992662957
CAIE	43.4672	12.2479	352.089	99.829916484544
CAMU	43.2589	11.9775	313.243	73.368494965228
CAPR	42.2571	12.1772	436.551	43.190560241907
CESI	43.005	12.9046	914.373	91.3782482098
CIPV	42.9522	12.005	566.062	39.638530349271
CIT2	43.4671	12.2479	351.51	99.819181410598
CIVI	42.0962	11.789	74.981	57.205663385194
CSP1	42.7908	10.8652	374.075	89.568908606731
CSSB	43.2093	12.2454	752.592	72.45778088016
FOL1	42.9549	12.6988	296.336	74.124591681154
GAVO	42.9366	10.8889	101.633	92.859915003904
GROA	42.7818	11.1093	68.046	70.056152135991
GROS	42.7654	11.1118	90.01	69.36335294025
GUB2	43.351	12.5775	544.614	98.733348197186
GUIE	43.3518	12.5654	530.435	98.287170797398
INGR	41.8281	12.5148	104.489	98.419431065703
ITGT	43.2337	12.782	572.258	98.887293488212
LNSS	42.6028	13.0402	1150.89	90.86797701401
M0SE	41.8931	12.4933	120.565	91.259518565528
MAON	42.4282	11.1307	228.39	68.241095079649
MCIN	43.0582	11.489	612.882	62.363282534956
MGAB	42.913	12.1114	532.602	37.824238229339
MORO	42.0525	12.619	201.562	83.153258370872
MTTO	42.4555	12.9927	1738.09	88.552282651218
MURB	43.2632	12.5247	882.938	88.217473549058
MVAL	43.3821	12.4066	638.351	95.213456676724
NRCI	42.7825	13.0971	656.745	97.521275893478
OLGI	42.0547	12.3551	207.842	69.983913150405
PERU	43.111	12.3936	471.592	68.239510620373
PIBI	43.1279	12.4531	258.958	72.54856501482
PITI	42.6339	11.6731	391.991	21.356949725212
PSTE	42.428	11.1201	72.352	69.08184008944
R1ET	42.4032	12.8533	460.904	78.790866822013
REAM	42.5587	12.4119	440.639	39.722962313206
REFO	42.9557	12.7035	306.585	74.496426241078
REGU	43.3516	12.5823	596.097	98.998409814254
REMO	43.4525	12.2256	476.548	97.791685556451
REN1	42.7928	13.0931	669.068	97.439386208025
REPI	42.9521	12.0024	575.704	39.595320123191
RETO	42.7823	12.4069	466.32	43.933224335355
RIE2	42.4076	12.8571	457.182	78.953636215074
RIET	42.4076	12.8571	457.187	78.953636215074
ROAN	41.9037	12.4195	154.655	87.279564490691
ROMA	41.9049	12.422	146.033	87.256338609079
S1EN	43.3149	11.3377	386.752	92.964566785065
SACS	42.849	11.9097	835.497	27.737320128586
SIEN	43.3416	11.313	417.669	96.539846752736
TARQ	42.2539	11.7575	185.622	41.006159201381
TER5	42.5718	12.635	199.986	57.802404253805
TERI	42.567	12.6495	209.76	59.020818575952
TOD2	42.7875	12.4098	376.563	44.410675573291
TOD3	42.7875	12.4098	376.758	44.410675573291
TOLF	42.064	12	362.773	59.877420938074
