SITE	LAT	LON	ellipsoid height
DP3A	41.7649	-88.1769	191.024
DP4A	41.7137	-87.9315	159.473
DP5A	41.9896	-88.1572	221.413
DP6B	41.9673	-87.9794	184.907
DPRT	-41.1786	146.3496	33.409
DQCY	30.4512	-93.4453	5.765
DQUA	34.1107	-94.2899	169.753
DR2O	49.3226	-119.625	541.877
DR4O	49.3226	-119.625	541.862
DRA1	42.9318	22.9335	765.157
DRA3	49.3224	-119.6248	535.644
DRA4	49.3227	-119.6245	541.389
DRA9	42.0622	20.6545	1093.18
DRAC	53.1088	6.0828	56.354
DRAG	31.5932	35.3921	31.798
DRAO	49.3226	-119.625	541.87
DRBA	-29.8512	31.0234	63.6
DRBN	-29.965	30.9467	46.415
DRCL	29.7338	80.5009	1986.53
DREJ	51.0298	13.7297	203.643
DRES	51.0298	13.7297	203.052
DRH1	21.9493	38.9712	13.201
DRIL	-26.728	150.0054	385.001
DRMC	62.714	-144.304	774.399
DRMN	46.3685	26.4905	389.442
DROI	52.2553	-2.1546	101.525
DROU	46.159	1.1537	293.494
DROW	52.2518	-2.1979	87.121
DRS4	24.8188	55.5801	157.168
DRTS	44.6272	22.6345	131.662
DRU1	45.888	-72.497	67.724
DRUM	55.6272	-3.7361	302.576
DRUS	48.7674	7.9506	184.496
DRV1	36.9587	-76.5566	-22.757
DRV2	36.9585	-76.5565	-22.828
DRV5	36.9587	-76.5566	-22.694
DRV6	36.9585	-76.5565	-22.797
DRWN	-12.4326	130.8431	82.741
DRWP	53.5263	15.8175	171.11
DRYC	38.6068	-117.33	1953.78
DRYV	40.4015	-119.8521	1288.76
DS13	35.2478	-116.7915	1044.2
DSD0	16.3123	-61.066	225.567
DSEA	31.0369	35.3688	-360.794
DSHS	34.0239	-118.3485	-2.103
DSL1	70.3334	-148.4727	17.151
DSLK	58.4368	-130.0292	984.199
DSME	33.0365	-117.2495	56.126
DSMG	22.159	113.5688	117.778
DSPT	60.4892	-138.6052	2220.6
DSRC	39.9914	-105.261	1654.64
DSRG	-21.2494	55.7155	2518.94
DSSC	33.7333	-116.7121	1660.87
DSTR	29.9646	-90.3822	-19.984
DTHW	-77.5821	-109.0439	1303.35
DTPG	35.2675	-117.8459	910.255
DUAO	-34.8727	-72.1526	27.261
DUAR	-23.6872	149.8135	125.146
DUAU	48.3622	-3.4377	236.997
DUB1	-32.2467	148.6031	297.2
DUB2	42.6502	18.1103	457.94
DUBO	50.2588	-95.8662	245.265
DUBP	37.7276	-121.8551	202.721
DUBR	42.65	18.1104	454.285
DUCK	36.1822	-75.7512	-26.647
DUDE	56.4639	-2.8773	57.529
DUM1	-66.6651	140.0019	-1.326
DUN1	56.4732	-2.9115	103.495
DUND	-45.8837	170.5972	386.972
DUNE	56.4651	-2.978	128.898
DUNF	37.3136	-117.3089	1961.44
DUNG	50.9266	0.9765	56.038
DUNK	50.8605	-3.2399	303.598
DUNN	29.0622	-82.3709	-7.846
DUNQ	51.0481	2.3667	51.098
DUNT	-45.8143	170.6294	13.482
DUPT	-64.805	-62.8169	43.466
DUR2	41.3155	19.451	63.481
DURH	35.9962	-78.8995	116.108
DURV	-40.8018	173.9216	468.478
DUTC	53.905	-166.5485	106.483
DUTH	41.1402	24.9168	109.219
DVAL	38.7636	-119.7701	1729.56
DVAO	7.0719	125.6129	99.958
DVCG	44.383	-114.0386	1984.41
DVLE	33.7006	-117.0007	532.51
DVLS	33.6911	-117.0536	508.621
DVLW	33.6577	-117.0674	528.076
DVNE	33.6935	-116.9937	508.36
DVNW	33.6734	-117.0661	509.124
DVPB	34.4134	-117.8601	1430.86
DVPT	47.6561	-118.1478	727.676
DVRY	44.0572	-95.5971	450.266
DVSE	33.6808	-116.9904	508.617
DVSW	33.6679	-117.0661	509.071
DVTG	51.1145	1.3225	50.088
DVTR	52.2372	6.188	64.666
DW16	52.6963	6.396	52.576
DW26	52.6927	6.318	49.132
DWEL	-32.7136	116.0625	233.821
DWH1	47.7741	-122.0802	109.095
DWI1	29.0136	-95.4037	-20.048
DWNI	-12.4433	130.9559	87.735
DWSN	-24.5596	150.0274	180.869
DYAR	37.9158	40.2759	720.769
DYER	37.7428	-118.0393	1511.93
DYH2	33.9383	-118.1275	10.838
DYHS	33.938	-118.126	1.467
DYNA	65.0563	-16.6518	1013.79
DYNC	64.7906	-17.3663	1208.5
DYNG	38.0786	23.9324	510.572
DYNY	65.016	-17.1157	868.135
DYR2	37.9153	40.2758	718.963
DYST	-22.5985	148.5001	232.435
DZDW	53.236	20.1618	205.643
DZIA	53.2303	20.1674	206.598
DZIE	53.926	19.3437	79.136
DZYL	53.32	6.9404	56.485
E1G2	-77.5304	167.1396	3654.27
EAG1	35.1542	-106.7981	1778.2
EAG2	65.7723	-137.8464	762.107
EAGL	36.1916	-116.3669	583.906
EAOZ	55.8399	48.8125	106.538
EARL	19.8522	-155.927	25.731
EASN	53.649	0.1164	52.049
EAST	50.7774	0.3063	56.5
EBBE	0.0382	32.4449	1181.35
EBBS	38.5476	-119.8159	2732.19
EBM1	37.815	-122.2838	-15.937
EBMD	37.815	-122.2838	-16.026
EBOL	40.5466	14.987	83.449
EBRE	40.8209	0.4924	107.805
EBRG	52.0675	6.6569	74.478
EBYP	-27.3689	-55.8922	139.919
EC01	39.6518	-106.8477	1986.84
ECCO	33.8868	-118.329	-19.345
ECFS	33.6477	-117.4117	801.417
ECHO	37.9155	-114.2642	1684.1
ECHU	-36.1403	144.7536	112.074
ECOR	-34.3756	150.9108	42.669
ECQU	50.5607	2.4474	95.854
ECSD	43.7337	-96.614	444.365
ED4S	33.5752	-86.2714	141.784
EDAA	33.5386	-86.7552	167.341
EDAP	36.526	-87.359	135.739
EDB2	34.3088	-89.9313	68.408
EDBB	30.3928	-88.6805	-17.63
EDBS	34.3088	-89.9311	68.624
EDBV	34.6801	-88.5599	131.324
EDCA	34.1866	-84.7949	201.991
EDCC	33.8311	-87.2782	77.036
EDCD	34.2168	-90.5726	28.072
EDCF	35.6977	-85.7793	274.67
EDCG	33.9517	-83.1167	182.331
EDCL	35.3112	-84.7994	192.4
EDCM	32.6141	-90.0362	53.788
EDCY	33.6696	-84.0371	249.534
EDDB	36.0319	-89.3889	63.261
EDDC	34.8726	-85.5105	210.427
EDDE	34.2682	-88.6449	64.198
EDDG	34.5384	-83.9873	437.015
EDDI	36.0687	-87.3851	225.177
EDDV	30.4034	-87.6841	2.493
EDE1	-37.0717	149.9093	20.744
EDEN	37.5231	14.3035	732.308
EDES	40.8043	22.0512	365.339
EDEY	34.6982	-84.4796	363.565
EDE_	52.0453	5.6726	84.138
EDF2	34.2688	-86.8599	270.189
EDFF	34.2679	-86.8605	269.592
EDGA	34.0193	-86.0021	139.266
EDGJ	34.1411	-83.6012	252.184
EDGR	33.7835	-89.801	34.468
EDGW	33.5205	-90.1836	23.179
EDHB	31.3159	-89.4278	84.157
EDID	33.966	-84.1067	253.786
EDIN	55.9248	-3.2948	119.055
EDIR	41.6767	26.551	98.283
EDJG	33.2955	-83.9667	197.787
EDJT	35.64	-88.8609	86.207
EDK1	35.9546	-84.1432	269.543
EDKG	35.98	-83.9264	275.719
EDLB	36.1746	-86.298	153.908
EDLG	33.0335	-85.0361	194.952
EDM1	35.0588	-89.8372	79.524
EDM2	35.4492	-89.7812	107.263
EDM3	47.4011	-68.364	161.468
EDMB	35.843	-86.4461	163.589
EDMC	53.3508	-112.9739	753.313
EDMD	33.6273	-83.4523	168.084
EDMM	31.8735	-89.7319	112.932
EDMN	53.5707	-113.1738	684.738
EDMO	36.1734	-83.2731	389.053
EDMR	32.3593	-88.7057	76.387
EDMT	32.2601	-90.0464	76.41
EDNA	40.901	-117.3147	1476.18
EDOC	70.3103	-148.3185	22.51
EDON	47.3633	-68.3256	140.871
EDPA	36.3037	-88.329	135.269
EDPC	33.386	-84.5846	233.742
EDPD	36.5807	-86.5157	227.126
EDPE	35.1951	-87.0376	182.231
EDPP	34.9462	-118.8304	379.808
EDRL	35.1309	-85.2324	178.35
EDRP	33.943	-84.5182	315.622
EDS1	-25.3758	151.1198	288.349
EDSC	35.6919	-84.8625	209.18
EDSH	35.7774	-86.9133	225.102
EDSM	35.1634	-88.5832	110.962
EDSS	31.6941	-89.1347	63.992
EDSU	31.0782	-88.2352	77.37
EDSV	35.8702	-83.5396	258.314
EDSY	33.1698	-86.2965	145.414
EDTM	34.6886	-90.3835	41.934
EDTP	33.7207	-85.0268	321.257
EDTT	36.1738	-85.5035	331.645
EDTU	33.2535	-87.5147	62.857
EDVB	32.3463	-90.8204	57.527
EDVM	30.7106	-88.1294	7.67
EDWA	33.4063	-82.6622	135.036
EDWG	30.856	-89.1386	60.535
EDWI	35.1858	-86.1146	275.065
EDWP	33.6092	-88.6595	43.07
EEKL	51.1899	3.5647	70.021
EEMS	53.2399	6.687	46.995
EESC	-22.0049	-47.8992	824.558
EFAY	36.1002	-94.1017	405.591
EFBG	50.5253	6.8819	403.496
EGA1	44.8266	-93.2008	221.765
EGAN	39.3452	-114.9389	1998.27
EGLI	43.0309	-120.7868	1465.18
EGLT	45.4034	2.052	667.04
EGMT	54.0361	-113.1553	616.654
EH01	27.8152	-17.9229	800.906
EHVN	51.4336	5.4658	84.954
EIIV	37.5136	15.0821	88.895
EIJS	50.7582	5.6836	103.802
EIL1	64.6879	-147.113	176.492
EIL2	64.6879	-147.113	176.471
EIL3	64.6879	-147.113	177.225
EIL4	64.6879	-147.113	177.225
EIND	51.4351	5.4815	113.564
EISL	-27.1482	-109.3833	114.537
EIVI	38.9512	1.4069	132.145
EJEA	42.1259	-1.1299	384.533
EKIZ	38.0588	37.1879	1325.11
EKON	4.2336	9.3272	420.094
EKTR	56.8776	60.6817	294.204
EKY1	27.6004	-82.7603	-18.375
EKY2	27.6009	-82.7606	-20.529
ELA2	-35.1802	-69.8136	1867.68
ELAT	29.5093	34.9206	29.599
ELAZ	38.6447	39.2565	1027.5
ELB1	54.1556	19.4004	52.708
ELBA	42.7529	10.2111	271.75
ELBL	45.9898	-95.9743	344.153
ELCI	42.5149	-2.6182	525.704
ELDA	-33.0369	27.8326	146.901
ELDC	58.9719	-135.2222	13.406
ELDN	-33.0381	27.8287	164.159
ELDO	38.6054	-121.0582	125.637
ELEN	16.9161	-89.8676	118.138
ELEP	19.4503	-155.5249	3378.14
ELGE	43.1371	-2.4864	535.621
ELGI	37.3546	-114.5219	1189
ELGN	45.5649	-117.9284	815.995
ELHT	-77.5104	167.1461	3347.25
ELIZ	49.8731	-127.1227	164.683
ELK1	54.7767	24.6446	140.192
ELK3	45.6587	-90.5396	418.426
ELKG	38.4018	-121.3534	-8.704
ELKO	40.9147	-115.8172	2016.89
ELKT	43.6583	-92.6887	402.818
ELLI	-38.2434	145.936	180.094
ELLY	33.5835	-118.1288	-2.878
ELMA	12.4658	-86.6748	445.258
ELP3	31.6915	-106.2716	1122.09
ELPA	31.7485	-106.3163	1158.25
ELRO	33.182	35.7706	1083.17
ELSC	34.0297	-118.2084	61.179
ELSG	33.6491	-117.426	811.341
ELSR	47.4976	-122.7606	115.225
ELTA	52.278	70.5907	360.912
ELTN	34.7031	-118.4257	916.482
ELTS	34.5993	-118.4538	887.09
ELVA	38.8794	-7.1594	370.293
ELVI	10.3947	-85.4458	81.834
ELY1	47.9023	-91.8324	425.295
EMAT	-31.1467	-71.6627	46.527
EMBR	47.6579	-92.2005	410.51
EMDE	53.3374	7.0275	56.954
EMIG	44.0744	-112.9275	1946
EMIR	39.0222	31.144	1057.75
EMLO	-26.4978	29.9838	1798.08
EMLY	46.6881	-93.9545	357.031
EMMA	58.6907	22.5536	32.659
EMMN	52.7956	6.901	81.821
EMNS	43.7221	10.9466	82.85
EMP1	38.4041	-96.1784	341.252
EMPO	43.7151	10.9347	81.905
EMPR	18.477	-66.5295	-34.927
ENAV	40.5823	14.3349	541.197
ENCG	-21.2433	55.6782	2353.48
ENG1	29.879	-89.9417	-18.489
ENG2	29.8792	-89.9421	-18.431
ENG5	29.879	-89.9417	-18.344
ENG6	29.8792	-89.9421	-18.331
ENGL	39.4615	-120.5372	1912.83
ENIS	54.3954	-7.6449	107.36
ENNA	37.5698	14.2743	989.509
ENSC	52.2236	6.8863	107.57
ENSH	-23.4783	148.5203	243.559
ENT1	39.4712	-8.4739	98.953
ENTR	45.4313	-117.2881	1126.57
ENTZ	48.5494	7.6399	204.27
ENUM	47.2062	-121.9556	227.083
EOCG	34.4508	-119.7698	42.473
EOST	48.5798	7.7625	213.285
EOUT	41.2532	-111.9289	1677.83
EPAS	37.9197	-117.8807	1817.11
EPE1	52.1613	7.0043	99.379
EPE2	52.1613	7.0043	97.227
EPHR	47.3293	-119.5447	375.454
EPL1	51.9979	3.275	64.729
EPP1	40.5129	-107.5675	1873.03
EPR2	49.2165	-0.3664	116.256
EPRN	49.2166	-0.3665	115.43
EPRT	44.9087	-66.9921	30.361
EPSF	-31.6399	-60.6721	62.798
EPZA	10.1409	-85.5681	668.381
EQHE	50.6804	1.5676	89.596
ERAS	-23.6867	27.6961	868.556
ERCK	48.873	7.3642	296.125
ERFU	51.0052	11.0282	249.444
ERGM	43.2424	-5.7765	292.37
ERGN	38.2696	39.7582	987.918
ERIE	42.9044	-78.9597	160.753
ERL1	39.0232	-84.6059	253.874
ERL2	19.8523	-155.9268	27.136
ERLA	49.5865	11.0046	337.822
ERLY	31.7432	-98.9451	407.417
ERMG	-26.7122	143.2623	200.119
ERPE	50.9225	3.9692	81.767
ERRA	31.9234	-4.4387	1092.04
ERRG	33.1164	-115.8227	-92.406
ERSK	47.6633	-95.9847	358.559
ERZI	39.7457	39.5061	1238.46
ERZR	39.9056	41.2555	1915.09
ES03	52.2184	4.4195	58.904
ES04	52.2184	4.4195	58.9
ESAB	45.3071	4.7979	207.765
ESBC	55.4936	8.4568	59.493
ESBH	55.4603	8.4398	50.104
ESC1	47.0734	-64.7987	-16
ESC2	40.5783	-4.1269	949.329
ESCA	-37.8874	-71.0613	1730.45
ESCN	33.1289	-117.1183	176.255
ESCO	42.6936	0.9757	2508.42
ESCU	47.0734	-64.7987	-16.017
ESE2	33.6748	-116.9939	512.816
ESKD	55.3124	-3.2069	297.424
ESKS	39.7457	30.4636	850.839
ESM1	47.8035	-122.5692	19.854
ESMA	55.3163	-3.207	324.074
ESNO	48.1244	5.3509	440.966
ESP1	-33.8411	121.8881	-14.29
ESP2	-15.9737	167.1919	89.957
ESPA	-33.8743	121.8943	32.441
ESPE	-63.3951	-56.9959	27.68
ESPI	40.976	-8.6434	74.001
ESQU	-42.9171	-71.3234	589.475
ESRW	33.6818	-117.067	548.62
ESSE	51.4435	7.0333	220.704
ESTE	42.6515	-2.0244	523.502
ESTI	13.0995	-86.3621	852.669
ESTM	52.1108	-77.1996	223.704
ESTR	38.8466	-7.5854	479.95
ETAD	9.0199	38.7628	2398.41
ETAU	45.2243	-0.5728	64.105
ETBE	0.0536	32.4823	1136.76
ETCG	9.9995	-84.1059	1193.59
ETDD	9.6131	41.8583	1155.26
ETJI	7.6679	36.8174	1722.06
ETOB	43.7013	-79.6072	136.274
ETOI	48.5732	7.7523	233.714
ETSI	37.3526	-5.9388	84.083
EUNG	-21.131	148.4939	741.512
EUR2	79.9889	-85.9376	29.01
EURC	79.9901	-85.9025	38.344
EURK	79.9885	-85.9399	25.656
EURO	51.9119	4.4306	145.416
EUSK	50.6741	6.7635	245.338
EUSM	5.1456	100.4941	18.789
EVER	41.8646	-120.5827	1579.6
EVOR	38.5681	-7.9044	354.395
EVPA	45.2195	33.1644	39.385
EVS8	37.29	-80.075	290.174
EWLK	38.6927	-118.6381	1327.78
EWPP	34.1042	-117.5256	330.491
EXET	50.7284	-3.475	88.462
EXMO	50.6134	-3.41	65.716
EXMT	-21.9607	114.1134	16.438
EXU0	23.564	-75.8734	-20.033
EYAC	60.5487	-145.7499	146.041
EYGE	45.6627	2.4522	805.843
EYPA	38.4268	21.9284	196.844
EYTA	43.9556	-92.2054	370.992
EZAU	30.2099	-97.7368	173.41
EZEV	43.7744	7.4973	72.362
EZSA	29.4354	-98.5174	181.627
FAA1	-17.5553	-149.6143	12.086
FAEZ	44.3028	11.8613	83.828
FAGA	45.8462	24.9687	475.88
FAGE	45.8546	22.1772	216.552
FAHR	47.6068	11.315	1674.33
FAI1	64.8096	-147.8473	149.885
FAIC	64.9781	-147.4985	324.288
FAIR	64.978	-147.4992	319.004
FAIV	64.9781	-147.4985	324.316
FAJA	40.1491	-7.9217	789.157
FAJP	43.2074	2.0258	367.99
FAL1	44.8165	-63.6168	23.69
FALE	-13.8322	-171.9995	47.665
FALK	-51.6937	-57.8741	50.833
FALL	-85.3064	-143.6317	260.186
FAND	43.147	-120.5804	1526.04
FAR1	37.0164	-7.9375	68.582
FARB	37.6972	-123.0008	-21.723
FARD	51.6237	-98.7357	227.069
FARN	51.2799	-0.7727	112.696
FARO	18.3446	-103.5087	35.81
FARR	40.513	-118.7341	1610.64
FARS	39.2951	22.3899	196.149
FAS1	40.8348	17.359	175.774
FAS2	41.0455	37.4847	41.074
FASA	41.0455	37.4847	41.074
FATA	40.5266	17.2832	126.843
FAUG	57.1357	-4.6885	99.32
FAVI	48.5401	1.2336	306.468
FAYE	43.6208	6.6895	312.985
FAYR	35.034	-78.8708	15.458
FBYN	40.0769	-97.3128	403.629
FCCI	39.2084	-85.8755	164.567
FCLZ	45.643	5.9857	1358.17
FCOA	41.0819	-7.1442	487.085
FCUL	38.7565	-9.1569	155.556
FDET	47.407	0.6228	153.419
FDMC	19.3303	-99.2172	2373.19
FDOS	46.3039	11.7238	1889.33
FDTC	34.2452	-79.8129	15.143
FEDE	-30.9535	-58.783	89.614
FEEK	37.8151	35.9123	600.395
FEI1	29.5396	-98.4156	228.214
FELD	52.0907	8.5319	195.19
FEN0	48.2898	-94.708	336.597
FENG	48.0902	2.7945	158.447
FENO	43.1572	2.0296	396.234
FER1	44.8279	11.6013	64.56
FER2	47.6283	0.7495	196.902
FERA	44.8136	11.627	58.336
FERG	-21.2408	55.7329	1946.8
FERI	40.0765	-120.3083	1796.2
FERM	41.8415	-88.2546	210.335
FERN	35.3419	-112.4547	1767.91
FERR	44.646	-1.2488	106.26
FERT	47.7234	16.6912	169.178
FES1	34.0389	-4.9958	461.581
FEST	45.2255	0.2414	180.751
FETA	49.2008	3.5093	168.369
FETH	36.6262	29.1238	37.403
FEUR	45.7348	4.2292	401.854
FFE0	16.2175	-61.5124	12.408
FFMJ	50.0906	8.665	178.183
FFOD	52.3562	14.5412	108.997
FFT2	14.6015	-61.0633	-30.095
FFTG	14.6015	-61.0633	-31.058
FG01	-33.8694	18.5077	54.612
FG02	14.6693	-17.4283	69.152
FG03	-4.7967	11.8538	20.33
FG04	0.3129	32.5867	1205.63
FG06	-20.2725	57.4958	392.327
FG07	0.3377	6.7326	32.722
FG08	-22.9504	14.5035	34.804
FG31	24.383	54.5197	-20.163
FG34	35.8847	14.4972	61.735
FG40	29.0832	48.0871	66.336
FG42	-33.8695	18.5083	56.391
FG96	-20.2626	57.4825	343.859
FGNW	34.0509	-118.2594	273.436
FGSE	34.0507	-118.2592	273.427
FGST	34.733	-120.0094	904.076
FGSW	34.0507	-118.2594	273.423
FHFF	34.5147	-118.6097	334.464
FHOG	34.0935	-116.9359	1588.68
FIDF	40.1147	-8.8513	71.447
FIE0	-76.1446	168.4235	153.805
FIED	46.7727	5.7149	599.648
FIGL	43.6187	11.4735	188.038
FIJI	-18.1152	178.4533	111.998
FILF	42.5603	2.4171	904.132
FIN1	48.9356	13.5636	979.977
FING	38.7765	-118.2079	1446.85
FINI	36.3022	30.1464	36.421
FINL	61.6503	-130.5344	1037.51
FINS	60.2291	19.9513	53.352
FIPR	43.7848	11.2268	108.137
FIR1	44.1183	11.378	487.568
FIRE	39.9036	-119.0899	1426.7
FISC	40.7705	14.7903	309.965
FISH	37.5671	-118.0065	1621.02
FITC	64.3366	-19.5916	893.564
FITT	40.3321	-118.0925	1454.69
FITZ	42.0221	-120.5892	1931.39
FJAG	-21.2295	55.7222	2094.78
FJCP	43.0482	2.7949	322.66
FJOC	64.8749	-18.006	1034.84
FJSG	-21.2297	55.722	2105.06
FLA1	54.1169	-0.0777	86.883
FLA2	40.1654	-105.1033	1507.56
FLA3	63.9585	-138.6944	455.43
FLAG	35.2021	-111.6489	2098.98
FLAM	47.5572	26.8989	158.665
FLAN	40.1583	-119.8201	1263.63
FLAT	38.304	-118.4631	1895.1
FLB1	54.7918	9.5036	105.665
FLB2	54.7701	9.4344	89.838
FLBN	29.5941	-81.2871	-10.399
FLC5	25.4316	-80.467	-18.278
FLC6	25.4314	-80.467	-18.278
FLCB	29.8426	-84.6952	-21.076
FLDB	46.9531	15.8825	348.308
FLDT	46.6682	11.5997	897.761
FLDW	53.7186	8.3076	58.974
FLE5	30.6436	-86.5519	47.004
FLE6	30.6437	-86.5516	46.579
FLEM	40.418	-120.2798	1360.31
FLF1	25.6153	-80.3861	-22.081
FLF2	25.6155	-80.3861	-22.125
FLGY	47.04	6.1262	671.812
FLIN	54.7256	-101.978	311.498
FLIU	25.7546	-80.3736	1.754
FLM2	45.5056	-63.541	218.843
FLM5	-77.5327	160.2714	1869.73
FLMT	45.5056	-63.541	218.771
FLN1	39.4666	-118.7637	1187.35
FLND	-40.2144	148.2416	7.522
FLO1	49.7619	5.135	447.996
FLO2	40.7799	21.4017	715.236
FLOI	49.716	4.9452	290.968
FLOR	1.6203	-75.6045	314.253
FLRC	44.3253	3.5945	607.881
FLRS	39.4538	-31.1264	80.207
FLSK	-65.7523	-62.8972	582.699
FLWE	28.4407	-81.0926	-5.071
FMC1	34.6974	-76.6831	-14.954
FMC2	34.6976	-76.6832	-32.847
FMGN	-21.2366	119.0556	385.899
FMTP	34.4099	-118.8941	362.816
FMTS	42.3001	-71.4419	42.876
FMVT	34.3563	-118.884	617
FMYR	26.591	-81.8642	-14.843
FNA0	15.8753	-61.582	80.928
FNEL	58.8419	-122.5777	366.516
FNT1	38.6825	-104.7001	1681.6
FOAG	-21.2619	55.7187	2024.49
FOCA	43.5076	18.7735	459.098
FOCS	45.7083	27.1946	97.377
FOGG	41.4522	15.5321	148.39
FOL1	42.9549	12.6988	296.336
FOLA	43.7949	-88.4527	195.737
FOMO	22.1974	113.5425	56.658
FOMU	41.356	13.4322	79.832
FONE	58.8419	-122.5777	366.517
FONP	-65.2454	-61.6468	76.279
FONS	43.1293	-7.0669	1017.06
FOOT	39.3694	-113.8054	1547.38
FOR1	10.1707	-61.6827	-33.9
FOR2	38.7053	1.4288	99.598
FORB	-33.3853	148.007	269.696
FORE	40.5119	-111.3803	1796.66
FORF	49.0579	2.8479	138.963
FORG	-21.2618	55.7189	2023.7
FORM	41.2811	13.6994	117.407
FORN	32.7213	-96.4433	124.942
FORT	-3.8774	-38.4256	19.493
FOS1	-71.3133	-68.3208	158.801
FOSC	44.1331	10.4112	424.351
FOSS	43.689	12.8066	176.501
FOST	41.1089	-120.792	1617.22
FOUC	49.842	1.5807	237.538
FOUE	47.9027	-3.9803	64.126
FOUG	47.8844	6.3654	335.339
FOUR	43.3643	-120.6881	1402.96
FOVA	50.3208	4.2164	172.163
FOXG	34.7339	-118.2405	688.815
FOXR	40.5752	-119.4723	1299.99
FOXV	44.2831	-88.4597	212.39
FOYL	54.9838	-7.3366	68.931
FPNO	5.4346	7.0332	88.315
FPPB	37.3135	-120.4712	29.162
FQNE	5.4673	-73.7348	2602.04
FRA1	48.9143	24.7141	316.817
FRA2	57.6936	-2.0027	60.808
FRAC	47.6597	6.7456	425.396
FRAE	57.6936	-2.0027	60.831
FRAG	41.5095	0.3242	181.768
FRAN	49.4768	0.174	80.355
FRDN	45.9335	-66.6599	94.845
FRDT	45.9335	-66.6596	94.71
FRDV	48.2169	-97.791	327.653
FRE1	36.8198	-119.7317	80.421
FRE2	45.9335	-66.6599	94.958
FRE3	47.8034	12.9454	488.405
FRED	36.9883	-112.4992	1529.72
FREE	26.7025	-78.9926	-26.062
FREI	-62.1941	-58.9805	72.306
FREN	39.8838	-120.2222	1835.81
FREO	40.2017	-81.2578	273.485
FRES	41.9735	14.6693	404.687
FRFD	38.223	-122.1392	-14.365
FRFX	47.0077	-121.9599	939.087
FRGF	46.2736	-96.0558	350.841
FRGN	46.8203	4.8521	268.363
FRI1	48.5306	-123.0272	32.685
FRI3	47.5274	8.1116	726.98
FRID	48.5352	-123.0181	11.388
FRIG	62.4109	-143.0052	863.303
FRKN	35.1919	-83.3949	619.626
FRMO	43.1684	13.7314	259.95
FRMT	43.6647	-94.4435	336.063
FRNG	56.523	8.1183	67.118
FRNS	37.7693	-25.3082	275.403
FROC	63.8652	8.6603	88.029
FROG	-32.5731	148.7937	381.518
FRON	27.7535	-18.0109	308.215
FROO	53.1877	6.7816	46.939
FROS	41.6391	13.3505	318.44
FROY	-18.126	125.8005	155.903
FRRA	42.4178	14.2922	92.512
FRRL	43.4614	-8.3382	111.635
FRSI	42.8679	-87.9829	190.196
FRSN	16.6987	42.1018	14.659
FRTG	43.0376	-82.4882	156.469
FRTN	-38.9393	177.4099	169.494
FRTT	47.6803	5.5663	373.458
FRUL	40.8779	14.2253	279.857
FRY3	-77.6058	163.1252	-31.629
FSDC	14.7348	-61.1465	500.748
FSFB	29.5562	-95.6304	2.432
FSHB	32.945	-115.7999	134.95
FSHS	29.8053	-91.5022	-15.859
FSIC	61.7566	-121.2281	157.016
FSMC	60.0261	-111.9329	178.181
FSRH	49.138	-122.2877	30.749
FST1	35.2218	-111.8174	2136.35
FST2	35.2215	-111.8175	2135.92
FST5	35.2218	-111.8174	2136.4
FST6	35.2215	-111.8175	2135.94
FTNA	-14.3078	-178.1209	84.88
FTP4	-78.9277	162.5647	243.223
FTRS	50.8287	-115.2003	2114.81
FTS1	46.2049	-123.9561	-13.812
FTS2	46.2052	-123.956	-13.584
FTS5	46.2049	-123.9561	-13.712
FTS6	46.2052	-123.956	-13.502
FTSJ	56.2467	-120.7299	684.738
FTTG	-14.296	-178.1602	52.322
FTVM	58.5151	-116.1513	286.523
FUER	28.4989	-13.8599	76.813
FUN3	45.411	25.2435	1252.58
FUNC	32.6479	-16.9076	78.439
FUSE	46.4142	13.0011	581.909
FUTA	7.2986	5.1364	410.584
FUTY	9.3497	12.4978	247.416
FVFI	38.7205	-8.3205	237.62
FVPK	33.6623	-117.9357	-11.513
FVRA	37.3175	13.669	392.525
FVTC	44.2831	-88.4597	212.328
FWBD	44.2919	-117.2216	631.429
FWI1	39.0685	-90.7575	169.326
FWIF	39.0671	-90.7445	130.485
FWTH	32.7199	-97.451	200.048
FXCR	54.3829	-116.7752	844.346
FXGC	32.6479	-16.9076	78.521
FXHS	34.0806	-118.3595	33.321
FYBO	61.5927	-139.4449	756.708
FYHA	54.9936	9.9863	45.982
FZHS	34.8002	-118.8934	1273.71
G000	33.877	135.9283	114.553
G001	35.4195	135.0876	264.651
G002	35.3335	135.3407	160.028
G003	35.1552	135.6342	287.238
G004	34.3265	135.2199	120.465
G006	34.7604	134.3761	42.21
G007	34.7106	136.0419	278.005
G008	34.4939	136.1731	545.001
G009	34.2929	136.0026	403.555
G010	34.242	135.8548	653.146
G011	33.9408	135.554	456.429
G012	33.6688	135.8821	590.295
G013	33.6583	135.5338	121.104
G014	35.5299	134.1953	43.15
G015	35.5069	133.4951	71.001
G016	35.4932	133.8697	43.759
G017	35.3406	134.1559	168.26
G018	35.4919	132.922	76.951
G019	35.3107	133.1921	180.707
G020	35.3097	132.9027	81.995
G021	35.2331	132.669	151.7
G022	35.0319	132.3856	306.637
G023	34.8567	132.6852	335.073
G024	34.7779	132.1095	411.384
G025	34.6243	131.8103	58.107
G026	35.283	133.6808	511.699
G027	35.105	133.9127	242.612
G028	34.7381	133.8004	67.5
