SITE	LAT	LON	ellipsoid height
AC19	62.5192	-153.6073	546.489
AC20	60.9292	-149.3525	43.636
AC21	55.9211	-159.1277	170.941
AC23	60.4751	-150.878	80.758
AC24	58.6816	-156.6528	36.35
AC25	55.089	-162.3141	584.27
AC26	58.2146	-154.1503	190.106
AC27	59.2525	-154.1629	417.477
AC28	55.0785	-160.0492	365.087
AC29	59.4296	-146.34	56.525
AC30	59.8558	-147.7392	750.748
AC31	64.638	-162.2391	228.342
AC32	61.4731	-150.7369	1347.73
AC33	62.6712	-150.6851	1521.11
AC34	57.22	-153.2792	103.225
AC35	59.3758	-150.7932	408.423
AC36	60.9553	-150.6083	46.447
AC37	60.4397	-153.8654	1626.59
AC38	57.7537	-153.3419	43.773
AC39	58.6097	-152.3941	157.118
AC40	56.9304	-158.6186	39.885
AC41	55.9087	-160.4073	407.725
AC42	54.4718	-162.7837	257.874
AC43	59.5213	-149.6287	69.52
AC44	61.2422	-149.5671	832.131
AC45	56.5645	-154.181	451.059
AC46	61.9863	-151.524	619.744
AC47	60.0815	-152.6239	922.26
AC48	60.6459	-147.343	379.538
AC50	65.5538	-164.5666	516.858
AC51	61.4981	-151.8353	957.377
AC52	57.5673	-157.5742	51.811
AC53	61.769	-150.069	57.451
AC55	62.3844	-151.7646	1012.33
AC57	61.1386	-145.7427	826.353
AC58	57.1561	-170.2178	19.381
AC59	59.5672	-153.5852	308.546
AC60	52.7146	174.0763	18.266
AC61	64.0293	-142.0758	745.421
AC62	63.0836	-146.3127	1347.1
AC63	63.5024	-145.8472	815.028
AC64	62.714	-144.304	774.416
AC65	62.8315	-143.7042	735.786
AC66	51.3781	179.3013	106.776
AC67	57.7907	-152.4254	347.214
AC69	63.1126	-142.0265	644.613
AC70	63.3047	-148.1883	810.843
AC71	64.0493	-145.7136	363.984
AC72	63.6951	-145.8877	558.806
AC74	63.4644	-148.8073	668.563
AC75	62.9993	-149.6088	608.621
AC76	63.04	-143.2588	1585.25
AC77	62.688	-145.4263	746.819
AC78	63.1135	-142.0279	643.745
AC79	59.9979	-147.403	287.769
AC80	62.3941	-151.765	1114.46
ACAD	47.9155	106.972	1289.43
ACAP	16.8223	-99.8569	335.714
ACCE	44.4762	6.9882	1321.73
ACER	40.7867	15.9424	764.707
ACHO	7.4147	-80.1731	35.568
ACHT	45.5128	-61.0266	21.02
ACHU	47.1244	3.6803	327.214
ACIN	40.4089	-1.4368	1178.32
ACL1	-27.2703	151.6996	509.341
ACNS	41.7001	-6.3521	871.222
ACOM	46.5479	13.5149	1774.68
ACOR	43.3644	-8.3989	66.916
ACP1	9.3714	-79.9499	12.8
ACP6	9.2385	-79.4078	943.503
ACPM	-33.4472	-70.5374	724.676
ACQU	38.0561	14.5883	90.16
ACRA	5.5581	-0.203	61.939
ACSB	33.2743	-117.4449	-12.296
ACSO	40.2324	-82.9815	248.174
ACSX	33.2743	-117.4449	-12.291
ACTO	43.6087	-80.0624	330.383
ACU1	41.7436	-70.887	5.224
ACU2	41.7436	-70.8865	3.659
ACU4	41.7433	-70.8866	4.909
ACU5	41.7436	-70.887	5.286
ACU6	41.7433	-70.8866	5.021
ACYA	16.838	-99.903	-6.951
ADA1	47.3067	-96.5155	252.855
ADAM	52.3685	4.9001	72.043
ADAN	37.0035	35.3437	60.613
ADAR	52.7892	-4.7413	148.421
ADAX	43.7108	-1.0556	70.777
ADD0	9.0349	38.7662	2437.03
ADD1	9.0353	38.7661	2438.39
ADDU	-0.6906	73.1501	-89.101
ADE0	16.2969	-61.0865	-40.281
ADE1	-34.729	138.6473	38.024
ADE2	-34.729	138.6473	38.06
ADEE	57.1335	-2.1588	150.729
ADEL	-34.9312	138.6037	54.988
ADIS	9.0351	38.7663	2439.17
ADIY	37.7459	38.2297	711.181
ADJU	46.0954	27.1893	139.788
ADKS	29.791	-95.5864	2.831
ADLK	60.7167	-138.3584	1437.67
ADLL	42.1964	-120.0067	1545.86
ADN1	39.2976	23.127	51.909
ADOB	33.6893	-111.918	531.448
ADR2	52.1798	5.9598	88.268
ADRI	41.919	-84.0243	205.96
ADRN	52.2016	5.9487	82.715
ADVT	45.3409	-64.7877	-9.457
AERO	32.8075	-117.1244	92.691
AFAL	46.5271	12.1745	2284.08
AFHT	34.3512	62.2176	926.421
AFKB	34.5219	69.1818	1787.79
AFKL	34.5219	69.1817	1785.78
AFYN	38.7384	30.561	1072.35
AFYT	40.0971	23.4353	106.132
AGAR	23.8538	91.2809	-9.458
AGCA	8.315	-73.5954	200.902
AGDE	43.2964	3.4664	65.698
AGDS	43.3127	3.4743	68.239
AGEN	44.1725	0.6115	113.739
AGIO	35.1915	25.718	40.583
AGMC	35.0132	-85.1885	204.675
AGMT	34.5943	-116.4294	1337.82
AGNA	39.4837	21.847	145.558
AGNE	45.4679	7.1396	2354.59
AGPS	33.3403	-111.6859	380.913
AGR1	39.7176	43.0329	1672.68
AGR2	40.3549	15.8285	658.677
AGRD	41.849	-1.9306	1010.9
AGRG	37.3203	13.6012	297.354
AGRI	38.624	21.409	124.103
AGU1	8.3152	-73.5954	201.575
AGUA	34.2479	-112.0585	978.644
AGUE	40.5756	-8.4469	102.99
AGUI	27.9039	-15.4458	329.127
